======================================================
                      RUN OVERVIEW                   
======================================================
| Event                                            |  #  |  %   |
[2022-02-08 18:47:31,832] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:32,834] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:33,819] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:34,810] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:35,809] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 18:47:36,894] DEBUG      No attack choreography available in hammerdin.py for this node pent_before_a - skipping to shorten run.
[2022-02-08 18:47:36,894] DEBUG      Traverse: [602]
[2022-02-08 18:47:40,180] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 18:47:44,699] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 18:47:44,720] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 18:47:44,720] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 18:47:45,232] INFO       A: Got enough pots, no need to go to town right now.
[2022-02-08 18:47:50,579] DEBUG      No attack choreography available in hammerdin.py for this node layoutcheck_a - skipping to shorten run.
[2022-02-08 18:47:50,580] INFO       A: Checking Layout for Vizier
[2022-02-08 18:47:50,580] DEBUG      Traverse: [610620]
[2022-02-08 18:47:53,859] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 18:47:59,968] ERROR      Got stuck exit pather
[2022-02-08 18:48:00,364] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 18:48:00,399] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 18:48:02,862] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

34) ========== [2022-02-08 19:32:47,734] DEBUG      Traverse: [610620]
[2022-02-08 19:32:18,265] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:19,625] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:20,680] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:21,745] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:22,808] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:23,818] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:24,833] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:25,819] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:26,834] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:27,868] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:28,868] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:29,885] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:30,886] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:31,887] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:32,904] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:32:33,995] DEBUG      No attack choreography available in hammerdin.py for this node pent_before_a - skipping to shorten run.
[2022-02-08 19:32:33,995] DEBUG      Traverse: [602]
[2022-02-08 19:32:37,281] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 19:32:41,803] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 19:32:41,823] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 19:32:41,823] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 19:32:42,352] INFO       A: Got enough pots, no need to go to town right now.
[2022-02-08 19:32:47,733] DEBUG      No attack choreography available in hammerdin.py for this node layoutcheck_a - skipping to shorten run.
[2022-02-08 19:32:47,734] INFO       A: Checking Layout for Vizier
[2022-02-08 19:32:47,734] DEBUG      Traverse: [610620]
[2022-02-08 19:32:50,992] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 19:32:57,120] ERROR      Got stuck exit pather
[2022-02-08 19:32:57,504] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 19:32:57,535] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 19:32:59,928] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

35) ========== [2022-02-08 19:45:47,130] DEBUG      Traverse: [647]
[2022-02-08 19:44:48,424] DEBUG      Traverse: [627, 622]
[2022-02-08 19:44:50,184] DEBUG      A2-Y: Attacking Vizier at position 1/2
[2022-02-08 19:44:55,070] DEBUG      A2-Y: Attacking Vizier at position 2/2
[2022-02-08 19:44:55,070] DEBUG      Traverse: [623]
[2022-02-08 19:45:00,649] DEBUG      A2-Y: Attacking Vizier at position 3/3
[2022-02-08 19:45:00,649] DEBUG      Traverse: [624]
[2022-02-08 19:45:11,986] INFO       Picking up: rare_gauntlets (100.0% confidence)
[2022-02-08 19:45:13,069] INFO       Picking up: white_hellspawn_skull (97.6% confidence)
[2022-02-08 19:45:14,021] DEBUG      Traverse: [624]
[2022-02-08 19:45:15,097] INFO       A2-Y: Hop!
[2022-02-08 19:45:15,097] DEBUG      Traverse: [622]
[2022-02-08 19:45:18,088] DEBUG      Traverse: [622]
[2022-02-08 19:45:18,390] DEBUG      Traverse: [622]
[2022-02-08 19:45:18,506] DEBUG      A2-Y: Static Pathing to Pentagram
[2022-02-08 19:45:20,517] DEBUG      A2-Y: Looping to Pentagram
[2022-02-08 19:45:20,517] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:45:20,881] DEBUG      Found Match: DIA_NEW_PENT_TP (88.6% confidence)
[2022-02-08 19:45:20,881] DEBUG      Traverse: [602]
[2022-02-08 19:45:21,707] INFO       A2-Y: finished seal & calibrated at PENTAGRAM
[2022-02-08 19:45:29,748] DEBUG      Traverse: [602]
[2022-02-08 19:45:31,245] INFO       B: Got enough pots, no need to go to town right now.
[2022-02-08 19:45:45,480] INFO       B: Checking Layout for De Seis
[2022-02-08 19:45:45,544] DEBUG      Waiting for templates: ['DIA_B1S_BOSS_CLOSED_LAYOUTCHECK1', 'DIA_B1S_BOSS_CLOSED_LAYOUTCHECK2', 'DIA_B1S_BOSS_CLOSED_LAYOUTCHECK3', 'DIA_B1S_BOSS_CLOSED_LAYOUTCHECK4', 'DIA_B1S_BOSS_CLOSED_LAYOUTCHECK5', 'DIA_B1S_BOSS_CLOSED_LAYOUTCHECK6', 'DIA_B1S_BOSS_CLOSED_LAYOUTCHECK7', 'DIA_B1S_BOSS_CLOSED_LAYOUTCHECK8']
[2022-02-08 19:45:47,129] DEBUG      B2-U: Layout_check step 1/2 - templates NOT found for B1-S
[2022-02-08 19:45:47,130] DEBUG      Traverse: [647]
[2022-02-08 19:45:50,931] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 19:45:56,757] ERROR      Got stuck exit pather
[2022-02-08 19:45:57,167] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 19:45:57,189] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 19:45:59,878] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

36) ========== [2022-02-08 19:56:40,241] DEBUG      Traverse: [676]
[2022-02-08 19:56:16,189] DEBUG      Traverse: [673]
[2022-02-08 19:56:17,259] DEBUG      CS Trash (A): clearing second hall (2/3) location: entrance1_02
[2022-02-08 19:56:28,098] DEBUG      Traverse: [674]
[2022-02-08 19:56:28,890] DEBUG      CS Trash (A): clearing second hall (3/3) location: entrance1_03
[2022-02-08 19:56:38,527] DEBUG      Traverse: [675]
[2022-02-08 19:56:40,241] DEBUG      Traverse: [676]
[2022-02-08 19:56:53,542] DEBUG      Pather: taking a random guess towards (339, -353)
[2022-02-08 19:56:57,612] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 19:56:57,634] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 19:56:57,634] DEBUG      Pather: taking a random guess towards (633, -306)
[2022-02-08 19:56:58,118] DEBUG      CS Trash (A): clearing third hall - 1/1 - location: entrance1_04
[2022-02-08 19:57:07,766] DEBUG      CS Trash: looping to PENTAGRAM
[2022-02-08 19:57:07,767] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:09,032] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:10,048] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:11,081] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:12,085] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:13,101] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:14,134] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:15,185] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:16,204] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:17,238] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:18,273] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:19,322] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:20,391] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:21,425] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:22,508] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 19:57:23,994] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 19:57:24,020] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 19:57:26,606] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

37) ========== [2022-02-08 20:03:26,413] DEBUG      Traverse: [614]
[2022-02-08 20:02:27,501] DEBUG      Sealdance: Kill trash at location: sealdance
[2022-02-08 20:02:35,852] DEBUG      Traverse: [614]
[2022-02-08 20:02:50,144] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 20:02:50,164] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 20:02:50,164] DEBUG      Pather: taking a random guess towards (120, -298)
[2022-02-08 20:02:50,708] DEBUG      A1-L: Seal1: trying to open (try #3)
[2022-02-08 20:02:50,878] ERROR      Wanted to select ['DIA_A1L2_14_CLOSED', 'DIA_A1L2_14_CLOSED_DARK', 'DIA_A1L2_14_MOUSEOVER'], but could not find it
[2022-02-08 20:02:51,880] DEBUG      Waiting for templates: ['DIA_A1L2_14_OPEN']
[2022-02-08 20:02:52,028] DEBUG      A1-L: Seal1: is closed - [91m closed[0m
[2022-02-08 20:02:52,579] DEBUG      A1-L: Seal1: failed 4 times, trying to kill trash now
[2022-02-08 20:02:52,579] DEBUG      Sealdance: Kill trash at location: sealdance
[2022-02-08 20:03:01,607] DEBUG      Traverse: [614]
[2022-02-08 20:03:05,087] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 20:03:13,913] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 20:03:13,932] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 20:03:13,933] DEBUG      Pather: taking a random guess towards (120, -310)
[2022-02-08 20:03:14,477] DEBUG      A1-L: Seal1: trying to open (try #4)
[2022-02-08 20:03:14,644] ERROR      Wanted to select ['DIA_A1L2_14_CLOSED', 'DIA_A1L2_14_CLOSED_DARK', 'DIA_A1L2_14_MOUSEOVER'], but could not find it
[2022-02-08 20:03:16,159] DEBUG      Waiting for templates: ['DIA_A1L2_14_OPEN']
[2022-02-08 20:03:16,296] DEBUG      A1-L: Seal1: is closed - [91m closed[0m
[2022-02-08 20:03:16,843] DEBUG      A1-L: Seal1: failed 5 times, trying to kill trash now
[2022-02-08 20:03:16,843] DEBUG      Sealdance: Kill trash at location: sealdance
[2022-02-08 20:03:26,413] DEBUG      Traverse: [614]
[2022-02-08 20:03:36,330] DEBUG      Pather: taking a random guess towards (-40, -353)
[2022-02-08 20:03:36,854] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 20:03:36,884] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 20:03:36,885] DEBUG      Pather: taking a random guess towards (-40, -353)
[2022-02-08 20:03:37,870] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 20:03:37,901] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 20:03:40,071] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

38) ========== [2022-02-08 20:05:59,804] DEBUG      Traverse: [685, 686]
[2022-02-08 20:05:43,944] DEBUG      Traverse: [682]
[2022-02-08 20:05:45,110] DEBUG      Traverse: [683]
[2022-02-08 20:05:46,238] DEBUG      CS Trash (B): clearing second hall (3/3) - location: entrance2_03
[2022-02-08 20:05:54,926] INFO       Picking up: magic_jewel (100.0% confidence)
[2022-02-08 20:05:57,573] DEBUG      Traverse: [683, 684]
[2022-02-08 20:05:59,804] DEBUG      Traverse: [685, 686]
[2022-02-08 20:06:03,664] DEBUG      Pather: taking a random guess towards (245, -279)
[2022-02-08 20:06:04,175] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 20:06:04,219] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 20:06:04,220] DEBUG      Pather: taking a random guess towards (245, -279)
[2022-02-08 20:06:04,761] DEBUG      CS Trash (B): clearing third hall (1/1) - location: entrance2_04
[2022-02-08 20:06:14,576] DEBUG      CS Trash: looping to PENTAGRAM
[2022-02-08 20:06:14,576] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:15,851] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:16,852] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:17,870] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:18,885] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:19,919] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:20,954] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:21,974] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:22,991] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:24,023] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:25,025] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:26,009] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:27,043] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:28,061] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:29,095] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:06:30,535] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 20:06:30,556] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 20:06:32,943] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

39) ========== [2022-02-08 20:09:25,202] DEBUG      Traverse: [685, 686]
[2022-02-08 20:09:21,054] DEBUG      Pather: taking a random guess towards (279, -295)
[2022-02-08 20:09:23,207] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 20:09:23,244] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 20:09:23,244] DEBUG      Pather: taking a random guess towards (-225, 220)
[2022-02-08 20:09:25,202] DEBUG      Traverse: [685, 686]
[2022-02-08 20:09:29,245] DEBUG      Pather: taking a random guess towards (323, -278)
[2022-02-08 20:09:29,880] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 20:09:29,899] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 20:09:29,900] DEBUG      Pather: taking a random guess towards (323, -278)
[2022-02-08 20:09:30,413] DEBUG      CS Trash (B): clearing third hall (1/1) - location: entrance2_04
[2022-02-08 20:09:40,836] DEBUG      CS Trash: looping to PENTAGRAM
[2022-02-08 20:09:40,836] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:42,133] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:43,134] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:44,149] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:45,168] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:46,185] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:47,219] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:48,270] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:49,271] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:50,304] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:51,323] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:52,390] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:53,407] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:54,459] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:55,527] DEBUG      Waiting for templates: ['DIA_NEW_PENT_0', 'DIA_NEW_PENT_1', 'DIA_NEW_PENT_TP', 'DIA_NEW_PENT_2']
[2022-02-08 20:09:56,577] DEBUG      Teleport cancel detected. Try same teleport action again. (0.1253)
[2022-02-08 20:09:57,580] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 20:09:57,605] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 20:09:59,951] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

40) ========== [2022-02-08 20:33:56,396] DEBUG      Traverse: [602]
[2022-02-08 20:34:30,447] INFO       Health Manager is now pausing
[2022-02-08 20:34:31,180] DEBUG      Will pickup: {'rejuv': 0, 'health': 0, 'mana': 0}
[2022-02-08 20:34:31,212] INFO       Routine repair. Run count=19, runs_per_repair=1
[2022-02-08 20:34:31,212] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 20:34:37,319] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 20:34:37,349] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 20:34:39,285] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 20:34:39,301] DEBUG      Found Match: TP_TOME (99.9% confidence)
